Station_Name,STATION_ID,Lat,Long,error_in_m,datum_period,station_datum,navd88,mhhw,mhw,mtl,msl,dtl,mlw,mllw,gt,mn
RAMROD KEY SOUTHEAST,8724239,24.65,-81.4033,0.0168,04/01/1975 - 04/30/1975,NA,NA,1.316,1.238,1.046,1.044,1.068,0.854,0.82,0.496,0.384
LOFALL,9445088,47.815,-122.657,0.0168,02/01/1978 - 02/28/1978,NA,NA,3.473,3.201,2.141,2.124,1.842,1.081,0.21,3.263,2.119
"HUNNIWELL POINT, KENNEBEC RIVER",8417177,43.755,-69.785,0.0169,08/01/2005 - 10/31/2005,NA,NA,8.294,8.165,6.873,6.876,6.886,5.581,5.477,2.817,2.584
"NEW GRETNA, BASS RIVER",8534104,39.5917,-74.4417,0.0169,06/01/1977 - 05/31/1978,NA,NA,2.083,1.992,1.52,1.561,1.544,1.048,1.004,1.078,0.944
"QUILCENE, DABOB BAY, HOOD CANAL",9445272,47.8,-122.858,0.0169,07/01/1995 - 09/30/1995,NA,NA,5.141,4.883,3.726,3.727,3.407,2.569,1.673,3.468,2.314
"CARLSTADT, HACKENSACK RIVER",8530528,40.8067,-74.06,0.017,09/01/1994 - 10/31/1994,NA,NA,2.618,2.52,1.651,1.717,1.659,0.781,0.7,1.917,1.739
"S.OSSABAW IS,BEAR R.,ST.CATH.S.",8673171,31.723028,-81.1417,0.017,02/19/2012 - 04/18/2012,NA,NA,3.28,3.172,2.11,2.157,2.135,1.048,0.991,2.288,2.124
GOPHER KEY,8724306,24.6417,-81.485,0.017,10/01/1974 - 10/31/1974,NA,NA,2.267,2.184,2.002,1.998,2.019,1.82,1.771,0.496,0.363
SABINE PASS,8770590,29.705,-93.8533,0.017,01/01/1978 - 12/31/1978,NA,NA,2.037,2.005,1.796,1.81,1.754,1.587,1.471,0.566,0.418
"NEW BEDFORD, CLARKS POINT",8447712,41.5933,-70.9,0.0171,06/01/1976 - 07/31/1976; 09/01/1976 - 10/31/1976,NA,NA,1.966,1.89,1.347,1.27,1.363,0.804,0.76,1.206,1.086
"BLOCK ISLAND, SW END, BLOCK ISLAND SOUND",8459681,41.1633,-71.61,0.0171,05/01/1998 - 10/31/1998,NA,NA,3.398,3.324,2.929,2.916,2.948,2.533,2.498,0.9,0.791
"MAHON RIVER ENTRANCE, DELAWARE BAY",8554399,39.185,-75.4,0.0171,05/01/2001 - 08/31/2001,NA,NA,4.3,4.168,3.356,3.371,3.395,2.544,2.489,1.81,1.624
"PORT BOCA GRANDE, CHARLOTTE HBR.",8725577,26.72,-82.2583,0.0171,10/01/1977 - 05/31/1978,NA,NA,1.03,0.959,0.817,0.819,0.793,0.675,0.555,0.475,0.284
"PASCAGOULA POINT, MISS. SOUND",8741196,30.34,-88.5333,0.0171,11/01/1980 - 10/31/1981,NA,NA,1.286,1.261,1.053,1.052,1.053,0.845,0.819,0.467,0.416
"CAT ISLAND, MISSISSIPPI SOUND",8745799,30.2317,-89.1167,0.0171,12/01/1979 - 01/31/1980,NA,NA,1.482,1.453,1.242,1.239,1.243,1.031,1.003,0.479,0.422
"MONTEZUMA SLOUGH, SUISUN BAY",9415205,38.0767,-121.885,0.0171,11/01/1990 - 12/31/1990,NA,NA,3.817,3.672,3.183,3.196,3.155,2.694,2.494,1.323,0.978
"SMITH POINT BRIDGE, NARROW BAY",8513825,40.7383,-72.8683,0.0172,02/01/1990 - 01/31/1991,NA,NA,1.26,1.211,1.03,1.038,1.037,0.85,0.814,0.446,0.361
"PLEASANTVILLE, LAKES BAY",8534657,39.3817,-74.5183,0.0172,07/01/1977 - 11/30/1977,NA,NA,4.984,4.866,4.262,4.268,4.3,3.658,3.616,1.368,1.208
"PENNEYS CREEK W ENTRANCE, STONO RIVER",8665599,32.7683,-80.07,0.0172,05/01/1974 - 06/30/1974,NA,NA,1.856,1.758,0.948,1.082,0.959,0.137,0.061,1.795,1.621
"FLEMING KEY, NORTH END",8724571,24.5917,-81.795,0.0172,04/01/2001 - 05/31/2001,NA,NA,9.378,9.299,9.146,9.151,9.157,8.992,8.935,0.443,0.307
"BORDEN HIGHWAY BRIDGE, SAN JOAQUIN RIVER",9414867,37.9367,-121.333,0.0172,12/01/1978 - 11/30/1979,NA,NA,2.375,2.244,1.794,1.799,1.788,1.344,1.201,1.174,0.9
"SANDY POINT, SARATOGA PASSAGE",9447856,48.035,-122.377,0.0172,02/01/1977 - 02/28/1977,NA,NA,4.152,3.884,2.732,2.724,2.436,1.58,0.72,3.432,2.304
"BRANT ROCK, GREEN HARBOR RIVER",8446009,42.0833,-70.6467,0.0173,06/01/1990 - 08/31/1990,NA,NA,3.424,3.288,1.905,1.923,1.919,0.521,0.415,3.009,2.767
"HARBORTON, PUNGOTEAGUE CREEK",8633091,37.6667,-75.8333,0.0173,03/01/1976 - 11/30/1976,NA,NA,1.778,1.722,1.454,1.459,1.467,1.186,1.156,0.622,0.536
"OLD TOWER, SAPELO ISLAND, DOBOY SOUND",8675622,31.39,-81.2883,0.0173,07/01/1977 - 12/31/1977,NA,NA,2.826,2.705,1.666,1.68,1.694,0.626,0.562,2.264,2.079
RACCOON KEY SPIT,8678124,31.014806,-81.455972,0.0173,02/01/2012 - 04/30/2012,NA,NA,9.694,9.585,8.585,8.606,8.608,7.585,7.522,2.172,2
MUNSON KEY,8724238,24.6233,-81.4033,0.0173,11/01/1973 - 12/31/1973,NA,NA,0.943,0.867,0.665,0.667,0.679,0.462,0.415,0.528,0.405
"DUMBARTON BRIDGE, SAN FRANCISCO BAY",9414509,37.5067,-122.115,0.0173,02/01/2011 - 02/28/2011; 04/01/2011 - 07/31/2011,NA,NA,6.283,6.095,5.068,5.085,4.97,4.041,3.658,2.625,2.053
"JETTY A, COLUMBIA RIVER",9440572,46.2683,-124.037,0.0173,03/01/1997 - 03/31/1997,NA,NA,3.839,3.611,2.65,2.65,2.546,1.689,1.254,2.586,1.922
GLOUCESTER HARBOR,8441841,42.61,-70.66,0.0174,07/01/1992 - 09/30/1992,NA,NA,4.149,4.013,2.673,2.685,2.691,1.333,1.232,2.917,2.681
"ALAMEDA CREEK, SAN FRANCISCO BAY",9414632,37.595,-122.145,0.0174,12/01/1976 - 02/28/1977,NA,NA,2.488,2.299,1.496,1.488,1.543,0.693,0.597,1.891,1.606
"RIO VISTA, SACRAMENTO RIVER",9415316,38.145,-121.692,0.0174,08/01/1996 - 12/31/1996,NA,NA,5.127,4.982,4.523,4.533,4.506,4.063,3.884,1.243,0.919
HOLLY HARBOR FARMS,9447855,48.0267,-122.535,0.0174,02/01/1977 - 02/28/1977,NA,NA,4.413,4.141,2.958,2.95,2.67,1.775,0.926,3.487,2.367
"BAYVILLE BRIDGE, OYSTER BAY",8516299,40.9033,-73.55,0.0175,06/01/1990 - 08/31/1990,NA,NA,3.68,3.57,2.443,2.438,2.459,1.316,1.238,2.442,2.253
HYANNISPORT,8447605,41.6317,-70.3,0.0176,06/01/1994 - 08/31/1994,NA,NA,4.932,4.825,4.338,4.358,4.353,3.851,3.773,1.159,0.974
QUICK'S HOLE,8448251,41.4483,-70.8567,0.0176,08/14/2004 - 08/31/2004,NA,NA,3.214,3.143,2.684,2.645,2.708,2.225,2.202,1.012,0.919
"TYLERVILLE, CONNECTICUT R.",8463348,41.4517,-72.465,0.0176,06/01/1987 - 09/30/1987,NA,NA,3.21,3.135,2.723,2.722,2.744,2.31,2.279,0.931,0.826
SPOONERS CREEK,8656467,34.725,-76.8033,0.0176,04/01/2012 - 07/31/2012,NA,NA,7.758,7.696,7.448,7.462,7.46,7.2,7.162,0.596,0.496
ELLIOTT KEY (OUTSIDE),8723393,25.4767,-80.18,0.0176,07/01/1974 - 07/31/1974,NA,NA,1.496,1.483,1.14,1.136,1.111,0.797,0.726,0.77,0.686
"Nueces Bay, TX",8775244,27.83275,-97.485944,0.0176,06/01/2010 - 05/31/2011,NA,NA,7.629,7.63,7.532,7.535,NA,7.435,7.426,NA,NA
"NEW HOPE BRIDGE, MOKELUMNE RIVER",9415478,38.2267,-121.49,0.0176,11/01/1978 - 10/31/1979,NA,NA,1.879,1.748,1.375,1.38,1.383,1.001,0.887,0.992,0.747
LYNCH COVE DOCK,9445441,47.4183,-122.9,0.0176,02/01/1978 - 02/28/1978,NA,NA,4.237,3.929,2.705,2.709,2.392,1.481,0.547,3.69,2.448
"RANGE A LIGHT, ICWW, BEAR R.",8672667,31.7933,-81.1817,0.0177,02/01/2012 - 04/30/2012,NA,NA,2.446,2.333,1.211,1.286,1.236,0.089,0.025,2.421,2.244
"ALABAMA POINT, PERDIDO PASS",8730667,30.278611,-87.555,0.0177,12/01/1993 - 03/31/1994,NA,NA,1.1,1.088,0.967,0.964,0.969,0.845,0.838,0.262,0.243
"BORDEN HIGHWAY BRIDGE, MIDDLE RIVER",9414835,37.8917,-121.488,0.0177,11/01/1978 - 10/31/1979,NA,NA,5.718,5.597,5.214,5.224,5.204,4.832,4.691,1.027,0.766
BRIGANTINE CHANNEL,8534496,39.435,-74.3633,0.0178,07/01/1978 - 12/31/1978,NA,NA,1.729,1.618,1.066,1.077,1.098,0.513,0.467,1.261,1.105
"TUCKAHOE,TUCKAHOE RIVER",8534883,39.295,-74.7483,0.0178,08/01/1977 - 10/31/1977; 04/01/1978 - 07/31/1978,NA,NA,1.97,1.891,1.374,1.456,1.381,0.857,0.793,1.177,1.034
"CORNFIELD CREEK, MAGOTHY RIVER",8575109,39.1,-76.445,0.0178,11/01/1975 - 12/31/1975,NA,NA,1.216,1.132,0.98,0.984,0.99,0.828,0.763,0.453,0.303
RAPPAHANNOCK LIGHT,8632837,37.5383,-76.015,0.0178,06/01/2007 - 09/30/2007,NA,NA,8.331,8.279,8.039,8.047,8.046,7.8,7.76,0.571,0.479
PERICO ISLAND,8726232,27.4867,-82.6867,0.0178,06/01/1977 - 09/30/1977,NA,NA,0.859,0.777,0.543,0.545,0.54,0.31,0.22,0.639,0.467
"PITTSBURG, NEW YORK SLOUGH, SUISUN BAY",9415096,38.0367,-121.88,0.0178,04/01/1979 - 08/31/1979,NA,NA,6.282,6.128,5.649,5.653,5.629,5.17,4.975,1.307,0.957
"REYNOLDS, TOMALES BAY",9415320,38.1467,-122.883,0.0178,04/01/1994 - 05/31/1994,NA,NA,5.909,5.687,5.119,5.098,5.085,4.55,4.26,1.648,1.136
HOPE CREEK,8666167,32.7,-80.4267,0.0179,10/01/1978 - 01/31/1979,NA,NA,3.268,3.186,2.33,2.455,2.336,1.473,1.404,1.864,1.713
"UMBRELLA POINT, TRINITY BAY",8770625,29.68,-94.8683,0.0179,09/01/1995 - 05/31/1996,NA,NA,2.349,2.337,2.164,2.173,2.155,1.99,1.961,0.388,0.347
"BILOXI, BAY OF BILOXI",8744117,30.4117,-88.9033,0.018,08/01/2004 - 12/31/2004,NA,NA,6.814,6.788,6.552,6.548,6.543,6.317,6.272,0.542,0.47
"ANNIE'S LANDING, SAN JACINTO RIVER",8770501,29.8183,-95.0783,0.018,06/01/1995 - 08/31/1995,NA,NA,1.754,1.729,1.537,1.536,1.512,1.345,1.27,0.485,0.383
ROCKPORT HARBOR,8441551,42.6583,-70.615,0.0181,08/01/1992 - 09/30/1992,NA,NA,3.891,3.76,2.434,2.444,2.45,1.107,1.008,2.884,2.653
BEACH HAVEN CG STATION,8534208,39.5483,-74.2567,0.0181,09/01/1976 - 08/31/1977,NA,NA,2.822,2.737,2.41,2.41,2.435,2.082,2.048,0.774,0.655
OYSTER HARBOR,8631591,37.2883,-75.925,0.0181,03/01/1981 - 04/30/1981,NA,NA,2.35,2.248,1.559,1.566,1.582,0.87,0.814,1.536,1.378
PORT LAUDANIA,8722968,26.06,-80.13,0.0181,08/01/1973 - 08/31/1973,NA,NA,1.604,1.574,1.232,1.233,1.221,0.89,0.838,0.765,0.685
CAPE ROMANO ISLAND,8724947,25.8533,-81.675,0.0181,05/01/1978 - 08/31/1978,NA,NA,1.304,1.23,0.834,0.814,0.779,0.438,0.255,1.049,0.792
"HANDSBORO BRIDGE, BERNARD BAYOU",8745101,30.4067,-89.0267,0.0181,08/01/1979 - 10/31/1979,NA,NA,0.991,0.946,0.695,0.702,0.69,0.445,0.388,0.603,0.501
"U.S. HIGHWAY 90, THE RIGOLETS",8761402,30.1667,-89.7367,0.0181,10/01/2014 - 10/31/2014,NA,NA,1.132,1.126,1.025,1.031,1.022,0.924,0.912,0.22,0.203
COLD SPRINGS HARBOR,8516061,40.8733,-73.47,0.0182,06/01/1990 - 08/31/1990,NA,NA,4.153,4.042,2.931,2.933,2.952,1.819,1.751,2.402,2.224
"CAPE LOOKOUT, LOOKOUT BIGHT",8656841,34.6133,-76.5383,0.0182,03/01/1976 - 04/30/1976,NA,NA,3.156,3.048,2.431,2.434,2.461,1.814,1.765,1.391,1.235
RAGGED KEY #3,8723350,25.5333,-80.1717,0.0183,01/01/1975 - 12/31/1975,NA,NA,1.006,0.983,0.732,0.727,0.723,0.48,0.439,0.567,0.503
WEST PEARL RIVER,8761294,30.23,-89.6683,0.0183,01/01/1981 - 12/31/1981,NA,NA,1.379,1.377,1.284,1.292,1.284,1.191,1.19,0.189,0.186
"NAHCOTTA, WILLAPA BAY",9440747,46.5017,-124.023,0.0183,05/12/1982 - 06/11/1982,NA,NA,3.42,3.19,1.928,1.993,1.822,0.667,0.223,3.197,2.523
PLUM IS. SOUTH END,8441241,42.710139,-70.788611,0.0184,05/01/2010 - 07/31/2010,NA,NA,3.429,3.306,1.969,1.966,1.983,0.632,0.537,2.892,2.674
LUDLAM BAY,8535221,39.1767,-74.71,0.0184,09/01/1978 - 09/30/1978,NA,NA,1.393,1.277,0.676,0.687,0.71,0.075,0.027,1.366,1.201
"DAYMARK #135, SOUTH NEWPORT R.",8674301,31.575,-81.19,0.0184,03/01/2012 - 04/30/2012,NA,NA,9.81,9.701,8.65,8.691,8.673,7.598,7.535,2.276,2.103
"OSTEGO BAY, ESTERO BAY",8725331,26.4133,-81.8983,0.0184,06/01/1973 - 06/30/1973,NA,NA,1.457,1.374,1.107,1.116,1.078,0.84,0.699,0.758,0.533
"GALLINAS, GALLINAS CREEK",9415052,38.015,-122.503,0.0184,08/01/1979 - 10/31/1979,NA,NA,2.619,2.435,1.779,1.771,1.718,1.124,0.816,1.803,1.312
"FOULWEATHER BLUFF, TWIN SPITS",9445016,47.9267,-122.617,0.0184,05/01/2012 - 05/31/2012,NA,NA,4.133,3.881,2.896,2.875,2.609,1.911,1.084,3.049,1.97
NORTH PASS,8760412,29.205,-89.0367,0.0185,01/01/1981 - 12/31/1981,NA,NA,2.3,2.295,2.131,2.13,2.132,1.967,1.964,0.335,0.329
"SHINNECOCK BAY, INSIDE OUTER BAR",8512671,40.82,-72.5617,0.0186,02/01/1978 - 09/30/1978,NA,NA,1.434,1.357,0.99,0.976,1.018,0.623,0.603,0.831,0.734
LLOYD HARBOR LIGHTHOUSE,8515921,40.91,-73.4317,0.0186,07/01/1990 - 08/31/1990,NA,NA,3.525,3.416,2.344,2.35,2.366,1.272,1.207,2.318,2.144
"OYSTER CREEK, CROATAN SOUND",8652437,35.845,-75.655,0.0186,06/01/2002 - 09/30/2002,NA,NA,0.741,0.715,0.652,0.651,0.65,0.589,0.558,0.183,0.126
NORTH ANCLOTE KEY,8726942,28.21,-82.84,0.0186,03/01/1976 - 03/31/1976,NA,NA,1.232,1.123,0.79,0.801,0.764,0.457,0.296,0.936,0.667
"LOWER BRYANT LANDING, TENSAW RIVER",8737373,30.9783,-87.8733,0.0186,08/01/2006 - 07/31/2007,NA,NA,6.657,6.632,6.388,6.403,6.389,6.143,6.121,0.536,0.489
"EDGERLEY ISLAND, NAPA RIVER",9415415,38.1917,-122.312,0.0186,07/01/1979 - 11/30/1979,NA,NA,2.562,2.383,1.671,1.679,1.628,0.958,0.695,1.867,1.425
CUTTYHUNK,8448376,41.425,-70.9167,0.0187,08/01/1976 - 10/31/1976,NA,NA,2.521,2.449,1.936,1.894,1.953,1.423,1.385,1.136,1.026
"LONG NECK POINT, LONG ISLAND SOUND",8468799,41.0383,-73.48,0.0187,06/01/1990 - 08/31/1990,NA,NA,3.18,3.072,1.981,1.98,1.999,0.889,0.818,2.362,2.184
"TUCKERTON, TUCKERTONCREEK",8534080,39.6017,-74.3417,0.0187,10/01/1976 - 09/30/1977,NA,NA,1.468,1.387,1.066,1.059,1.093,0.745,0.718,0.75,0.642
PANTHER KEY,8724951,25.8583,-81.5383,0.0187,12/01/1977 - 03/31/1978,NA,NA,2.21,2.13,1.625,1.625,1.567,1.12,0.924,1.286,1.01
UPPER MAD RIVER SLOUGH,9418983,40.8983,-124.135,0.0187,08/01/1978 - 12/31/1978,NA,NA,5.501,5.283,4.401,4.463,4.311,3.52,3.12,2.381,1.763
CAPE NEDDICK,8419399,43.1667,-70.5933,0.0188,09/01/1976 - 09/30/1976,NA,NA,4.063,3.931,2.606,2.616,2.621,1.281,1.179,2.883,2.65
"TINICUM 3, DARBY CREEK",8543024,39.8867,-75.265,0.0188,08/01/1978 - 11/30/1978,NA,NA,1.318,1.212,0.524,0.592,0.566,-0.162,-0.186,1.504,1.375
"OCEAN CITY, FISHING PIER",8657419,34.4517,-77.495,0.0188,06/01/1973 - 11/30/1973,NA,NA,2.509,2.411,1.771,1.774,1.797,1.132,1.084,1.425,1.279
TARPON BAY,8725362,26.4433,-82.0817,0.0189,11/01/1977 - 03/31/1978,NA,NA,1.658,1.579,1.341,1.35,1.311,1.102,0.965,0.693,0.477
"CHAPPAQUOIT POINT, BUZZARDS BAY",8447685,41.605,-70.6517,0.019,08/01/2000 - 09/30/2000,NA,NA,2.472,2.392,1.809,1.74,1.825,1.226,1.177,1.295,1.165
"NORTHPORT, NORTHPORT BAY",8515586,40.9,-73.3533,0.019,06/01/1990 - 08/31/1990,NA,NA,3.211,3.104,1.996,1.999,2.015,0.888,0.819,2.392,2.215
"EAST RUTHERFORD, PASSAIC RIVER",8530403,40.8467,-74.12,0.019,08/01/1994 - 10/31/1994,NA,NA,2.787,2.681,1.787,1.8,1.8,0.893,0.812,1.975,1.788
"PARKER RUN, LITTLE EGG HARBOR",8534049,39.6167,-74.31,0.019,03/01/1977 - 09/30/1977,NA,NA,3.06,2.984,2.666,2.665,2.69,2.348,2.321,0.739,0.636
"KEYDASH, ISLE OF WIGHT BAY",8570255,38.3417,-75.085,0.019,06/01/1977 - 05/31/1978,NA,NA,1.825,1.772,1.539,1.551,1.546,1.307,1.267,0.558,0.465
"GASKINS PT., OCCOHANNOCK CREEK",8632869,37.5567,-75.9167,0.019,06/01/2007 - 09/30/2007,NA,NA,1.136,1.084,0.821,0.827,0.827,0.559,0.513,0.62,0.525
"WARES WHARF, RAPPAHANNOCK RIVER",8635985,37.8733,-76.7833,0.019,05/01/2008 - 04/30/2009,NA,NA,1.598,1.553,1.279,1.291,1.284,1.005,0.97,0.628,0.548
"ROANOKE MARSHES LIGHT, CROATAN SOUND",8652547,35.8117,-75.7,0.019,06/01/2002 - 09/30/2002,NA,NA,1.456,1.43,1.369,1.368,1.366,1.307,1.275,0.18,0.123
NASSAU RIVER ENTRANCE,8720135,30.5183,-81.4533,0.019,09/01/1978 - 10/31/1978,NA,NA,2.719,2.615,1.829,1.808,1.852,1.043,0.985,1.733,1.572
NASELLE RIVER SWING BRIDGE,9440691,46.43,-123.903,0.019,05/14/1982 - 06/13/1982,NA,NA,3.976,3.744,2.452,2.514,2.342,1.16,0.709,3.267,2.584
"PINEY POINT, WINGS COVE",8447416,41.695,-70.72,0.0191,08/01/2000 - 09/30/2000,NA,NA,2.447,2.363,1.767,1.697,1.782,1.171,1.118,1.329,1.193
SOUTH EDISTO RIVER AT DAWHOO RIVER,8666616,32.6567,-80.3917,0.0191,04/01/1979 - 08/31/1979,NA,NA,2.457,2.372,1.435,1.569,1.445,0.498,0.433,2.024,1.874
"SUNBURY, SUNBURY CH.,MEDWAY R.",8672875,31.7667,-81.2783,0.0191,02/01/2012 - 04/30/2012,NA,NA,2.971,2.864,1.754,1.869,1.773,0.643,0.575,2.395,2.22
PERICO BAYOU,8726254,27.4983,-82.6683,0.0191,07/01/1977 - 07/31/1977,NA,NA,0.894,0.805,0.572,0.577,0.574,0.339,0.254,0.64,0.466
"PLUM ISLAND, MERRIMACK RIVER ENTRANCE",8440452,42.8167,-70.82,0.0192,06/01/1989 - 09/30/1989,NA,NA,4.015,3.89,2.671,2.669,2.688,1.452,1.361,2.653,2.438
SHINNECOCK INLET,8512354,40.8367,-72.48,0.0192,10/01/2013 - 02/28/2014,NA,NA,6.588,6.509,6.04,6.024,6.06,5.571,5.532,1.057,0.939
SAWPIT CREEK,8720143,30.5033,-81.4717,0.0192,07/01/1978 - 07/31/1978,NA,NA,2.853,2.749,1.975,1.985,2.005,1.201,1.157,1.697,1.548
PALM RIVER ENTRANCE,8726696,27.9467,-82.4017,0.0192,03/01/1977 - 03/31/1977,NA,NA,1.673,1.602,1.291,1.29,1.26,0.98,0.847,0.826,0.623
BRETON ISLAND,8760595,29.4933,-89.1733,0.0192,07/01/1981 - 12/31/1981,NA,NA,1.372,1.372,1.165,1.173,1.164,0.956,0.955,0.417,0.416
"HIGGANUM CREEK, CONNECTICUT R.",8463836,41.5033,-72.5533,0.0193,06/01/1987 - 09/30/1987,NA,NA,3.421,3.351,2.985,2.989,3.005,2.619,2.589,0.832,0.732
"ORIENT, ORIENT HARBOR",8511671,41.1367,-72.3067,0.0193,08/01/2011 - 10/31/2011,NA,NA,8.476,8.378,7.995,8.012,8.013,7.611,7.551,0.925,0.766
"LONG POINT, LITTLE EGG HARBOR",8534044,39.6133,-74.2633,0.0193,03/01/1977 - 09/30/1977,NA,NA,1.888,1.812,1.511,1.504,1.536,1.21,1.184,0.703,0.601
"BIG PINE KEY, COUPON BIGHT INSIDE",8724192,24.6517,-81.35,0.0193,10/01/1974 - 10/31/1974,NA,NA,1.674,1.593,1.411,1.415,1.433,1.229,1.192,0.483,0.363
FAKAHATCHEE RIVER ENTRANCE,8724962,25.89,-81.4767,0.0193,01/01/1978 - 05/31/1978,NA,NA,1.507,1.418,1.051,1.023,1.035,0.683,0.563,0.944,0.735
"COON KEY PASS, GULLIVAN BAY",8724964,25.8967,-81.6367,0.0193,03/01/1978 - 03/31/1978; 05/01/1978 - 05/31/1978,NA,NA,1.836,1.753,1.311,1.307,1.258,0.869,0.68,1.156,0.884
OUTER CLAM BAY,8725171,26.2117,-81.8133,0.0193,04/01/1978 - 08/31/1978,NA,NA,1.16,1.093,0.965,0.953,0.976,0.837,0.793,0.367,0.256
PORT ST. JOE,8728912,29.815,-85.3133,0.0193,01/01/1976 - 12/31/1976,NA,NA,1.412,1.321,1.145,1.158,1.16,0.97,0.908,0.504,0.351
"POND POINT (ABERDEEN P.G.), BUSH RIVER",8574459,39.3883,-76.255,0.0194,08/01/1995 - 08/31/1995,NA,NA,3.161,3.053,2.863,2.884,2.888,2.673,2.615,0.546,0.381
SANDBRIDGE,8639428,36.6917,-75.92,0.0194,07/01/1981 - 10/31/1981,NA,NA,2.08,1.986,1.475,1.48,1.496,0.964,0.912,1.168,1.022
"OAKS CR. INLET, MURRELLS INLET",8661609,33.53,-79.0433,0.0194,05/01/1975 - 11/30/1975,NA,NA,2.317,2.2,1.549,1.558,1.58,0.898,0.843,1.474,1.301
SAWPIT CREEK ENTRANCE,8720137,30.5133,-81.4567,0.0194,05/01/1978 - 06/30/1978,NA,NA,3.059,2.952,2.183,2.178,2.208,1.413,1.356,1.702,1.539
"TIGER POINT, PUMPKIN HILLS CREEK",8720148,30.5017,-81.495,0.0194,01/01/1979 - 03/31/1979,NA,NA,2.678,2.591,1.846,1.904,1.862,1.101,1.045,1.633,1.49
MOLASSES KEY,8724062,24.6833,-81.1917,0.0194,06/01/1974 - 06/30/1974,NA,NA,1.488,1.413,1.251,1.254,1.27,1.089,1.052,0.435,0.325
FAKA UNION BAY,8724970,25.9033,-81.5133,0.0194,12/01/1977 - 03/31/1978,NA,NA,1.938,1.86,1.525,1.503,1.512,1.19,1.085,0.852,0.671
"POINT CLEAR, MOBILE BAY",8733821,30.486639,-87.934528,0.0194,12/01/2010 - 01/31/2011,NA,NA,9.04,9.046,8.817,8.821,8.812,8.588,8.583,0.457,0.457
REALITOS PENINSULA,8779280,26.262222,-97.285361,0.0194,07/01/2009 - 04/30/2012,NA,NA,4.933,4.93,4.849,4.854,NA,4.767,4.761,0.172,0.163
LYME HWY. BR. CT. RIVER,8462764,41.3217,-72.35,0.0195,06/01/1987 - 08/31/1987,NA,NA,3.515,3.431,2.926,2.925,2.941,2.422,2.368,1.147,1.01
"SHINNECOCK YACHT CLUB, PENNIMAN CREEK",8512769,40.818556,-72.586611,0.0195,07/01/1990 - 09/30/1990,NA,NA,2.548,2.47,2.083,2.066,2.106,1.696,1.663,0.884,0.774
TOWNSEND SOUND,8535309,39.1467,-74.75,0.0195,10/01/1977 - 11/30/1977,NA,NA,1.798,1.678,1.116,1.125,1.161,0.554,0.523,1.274,1.124
"SEAPOINT, CUTTS ISLAND",8419590,43.085,-70.6617,0.0196,10/06/1976 - 11/06/1976,NA,NA,3.402,3.272,1.951,1.969,1.968,0.631,0.534,2.867,2.641
"GUILFORD, GUILFORD HARBOR",8464445,41.2717,-72.6667,0.0196,06/01/1993 - 08/31/1993,NA,NA,3.562,3.467,2.676,2.675,2.689,1.885,1.815,1.747,1.582
"LAKE WORTH, STUMPY POINT BAY",8652905,35.6983,-75.7733,0.0196,06/01/2002 - 09/30/2002,NA,NA,1.054,1.028,0.958,0.96,0.956,0.888,0.857,0.197,0.14
"HOWE STREET PIER, EAST RIVER, BRUNSWICK",8677406,31.144556,-81.496806,0.0196,02/01/2012 - 04/30/2012,NA,NA,8.451,8.339,7.253,7.321,7.275,6.167,6.1,2.352,2.172
"HONEYMOON ISLAND, SOUTH",8726808,28.0583,-82.81,0.0196,06/01/1975 - 08/31/1975,NA,NA,1.691,1.585,1.281,1.293,1.255,0.978,0.819,0.872,0.607
"EDGARTOWN, MARTHA'S VINEYARD",8448558,41.3883,-70.5117,0.0197,08/06/2004 - 09/05/2004,NA,NA,2.251,2.154,1.829,1.87,1.843,1.504,1.435,0.816,0.65
"FEDERAL POINT, CAPE FEAR RIVER",8658715,33.9617,-77.94,0.0197,11/01/1974 - 11/30/1974,NA,NA,2.184,2.082,1.467,1.511,1.497,0.852,0.81,1.374,1.231
"FORT POINT, YORK HARBOR",8419528,43.13,-70.6383,0.0198,09/01/1976 - 09/30/1976,NA,NA,4.037,3.91,2.586,2.604,2.601,1.262,1.165,2.872,2.649
DUTCH SLOUGH,9415053,38.0117,-121.638,0.0198,11/01/1991 - 03/31/1992,NA,NA,6.392,6.253,5.878,5.881,5.867,5.502,5.342,1.05,0.751
"MAROMAS, CONNECTICUT RIVER",8463827,41.5417,-72.5517,0.0199,06/01/1987 - 09/30/1987,NA,NA,3.191,3.117,2.75,2.755,2.771,2.382,2.351,0.84,0.735
"BAYSHORE, LONG ISLAND",8515102,40.7167,-73.24,0.0199,01/01/1979 - 12/31/1979,NA,NA,1.431,1.378,1.228,1.238,1.243,1.077,1.055,0.376,0.301
"CEDAR SWAMP, TUCKAHOE RIVER",8535001,39.2467,-74.7183,0.0199,06/01/1978 - 10/31/1978,NA,NA,1.714,1.65,1.194,1.331,1.187,0.738,0.66,1.054,0.912
BON SECOUR,8731952,30.3033,-87.735,0.0199,09/01/1986 - 11/30/1986,NA,NA,1.424,1.413,1.19,1.188,1.189,0.967,0.954,0.47,0.445
"MATTITUCK INLET, LONG ISLAND",8512668,41.015,-72.5617,0.02,03/24/2013 - 04/22/2013,NA,NA,7.734,7.645,6.871,6.862,6.884,6.097,6.034,1.7,1.548
